Name	WHO Region	Cases - cumulative total	Cases - cumulative total per 100000 population	Cases - newly reported in last 7 days	Cases - newly reported in last 7 days per 100000 population	Cases - newly reported in last 24 hours	Deaths - cumulative total	Deaths - cumulative total per 100000 population	Deaths - newly reported in last 7 days	Deaths - newly reported in last 7 days per 100000 population	Deaths - newly reported in last 24 hours	Transmission Classification
Estonia	Europe	129,544.000	9,747.660	875.000	65.840	58.000	1,252.000	94.210	11.000	0.830	1.000	Clusters of cases
Algeria	Africa	128,725.000	293.550	1,865.000	4.250	269.000	3,465.000	7.900	47.000	0.110	5.000	Community transmission
Norway	Europe	124,029.000	2,310.710	3,275.000	61.010	0.000	783.000	14.590	2.000	0.040	0.000	Clusters of cases
China	Western Pacific	111,525.000	7.580	3,727.000	0.250	378.000	4,970.000	0.340	95.000	0.010	15.000	Clusters of cases
Kosovo[1]	Europe	107,362.000	5,978.950	161.000	8.970	23.000	2,233.000	124.350	4.000	0.220	0.000	Community transmission
Kyrgyzstan	Europe	104,729.000	1,605.240	2,027.000	31.070	174.000	1,808.000	27.710	51.000	0.780	5.000	Clusters of cases
Uzbekistan	Europe	100,335.000	299.780	1,678.000	5.010	211.000	690.000	2.060	10.000	0.030	0.000	Clusters of cases
Montenegro	Europe	99,597.000	15,857.830	247.000	39.330	0.000	1,583.000	252.050	9.000	1.430	0.000	Clusters of cases
Zambia	Africa	95,050.000	517.030	1,849.000	10.060	299.000	1,278.000	6.950	10.000	0.050	2.000	Community transmission
Ghana	Africa	93,898.000	302.190	278.000	0.890	123.000	785.000	2.530	2.000	0.010	1.000	Community transmission
Finland	Europe	92,244.000	1,669.490	718.000	12.990	0.000	948.000	17.160	16.000	0.290	0.000	Community transmission
Cameroon	Africa	77,982.000	293.760	1,226.000	4.620	0.000	1,270.000	4.780	40.000	0.150	0.000	Community transmission
El Salvador	Americas	73,246.000	1,129.260	1,026.000	15.820	0.000	2,249.000	34.670	29.000	0.450	4.000	Community transmission
Afghanistan	Eastern Mediterranean	72,977.000	187.460	6,074.000	15.600	1,139.000	2,973.000	7.640	137.000	0.350	29.000	Community transmission
Cyprus	Europe	72,407.000	8,153.900	496.000	55.860	248.000	360.000	40.540	6.000	0.680	3.000	Clusters of cases
Mozambique	Africa	70,780.000	226.460	190.000	0.610	56.000	836.000	2.670	5.000	0.020	0.000	Community transmission
Luxembourg	Europe	69,889.000	11,162.450	344.000	54.940	0.000	814.000	130.010	4.000	0.640	0.000	Community transmission
Maldives	South-East Asia	64,396.000	11,913.180	7,055.000	1,305.170	710.000	161.000	29.780	17.000	3.140	3.000	Clusters of cases
Singapore	Western Pacific	62,051.000	1,060.640	191.000	3.260	23.000	33.000	0.560	1.000	0.020	0.000	Sporadic cases
Mongolia	Western Pacific	58,439.000	1,782.610	5,339.000	162.860	927.000	276.000	8.420	23.000	0.700	4.000	Clusters of cases
Botswana	Africa	56,313.000	2,394.640	2,162.000	91.940	0.000	831.000	35.340	47.000	2.000	0.000	Community transmission
Namibia	Africa	55,141.000	2,170.130	2,195.000	86.390	482.000	824.000	32.430	59.000	2.320	6.000	Community transmission
Jamaica	Americas	48,557.000	1,639.790	503.000	16.990	90.000	948.000	32.010	23.000	0.780	3.000	Community transmission
Côte d’Ivoire	Africa	47,195.000	178.920	253.000	0.960	0.000	301.000	1.140	3.000	0.010	0.000	Community transmission
Uganda	Africa	47,147.000	103.070	3,413.000	7.460	1,216.000	362.000	0.790	6.000	0.010	0.000	Community transmission
Senegal	Africa	41,387.000	247.180	325.000	1.940	56.000	1,138.000	6.800	8.000	0.050	0.000	Community transmission
Madagascar	Africa	41,266.000	149.020	390.000	1.410	32.000	835.000	3.020	35.000	0.130	6.000	Community transmission
Zimbabwe	Africa	38,944.000	262.020	262.000	1.760	11.000	1,594.000	10.720	8.000	0.050	0.000	Community transmission
Sudan	Eastern Mediterranean	35,512.000	80.990	269.000	0.610	17.000	2,631.000	6.000	31.000	0.070	1.000	Clusters of cases
Angola	Africa	34,366.000	104.560	1,925.000	5.860	186.000	764.000	2.320	39.000	0.120	7.000	Community transmission
Malawi	Africa	34,335.000	179.480	51.000	0.270	6.000	1,155.000	6.040	2.000	0.010	1.000	Community transmission
